offerFulfillmentId,accountId,tsysAccountId,offerTriggerId,periodStartTimestamp,periodEndTimestamp,trackerType,status,currentValue,targetValue,points,fulfilledTimestamp,fulfilledTransactionId,createTimestamp,createUserId,updateTimestamp,updateUserId,eventType
-209,11620957,8936165,67,2025-09-25 00:00:00,2025-12-25 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-210,11621148,8936322,67,2025-09-25 00:00:00,2025-12-25 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-211,11621205,8936374,67,2025-09-25 00:00:00,2025-12-25 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-212,11621419,8936560,67,2025-09-25 00:00:00,2025-12-25 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-213,11621529,8936659,67,2025-09-25 00:00:00,2025-12-25 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-214,11621686,8936788,67,2025-09-25 00:00:00,2025-12-25 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-215,11621973,8937005,67,2025-09-25 00:00:00,2025-12-25 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-216,11622394,8937295,67,2025-09-26 00:00:00,2025-12-26 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-217,11622600,8937474,67,2025-09-26 00:00:00,2025-12-26 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-218,11622888,8937727,67,2025-09-26 00:00:00,2025-12-26 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-219,11623063,8937885,67,2025-09-26 00:00:00,2025-12-26 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-220,11623074,8937893,67,2025-09-26 00:00:00,2025-12-26 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-221,11623145,8937959,67,2025-09-26 00:00:00,2025-12-26 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-222,11623414,8938151,67,2025-09-26 00:00:00,2025-12-26 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-223,11623438,8938154,67,2025-09-26 00:00:00,2025-12-26 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-224,11623620,8938376,67,2025-09-26 00:00:00,2025-12-26 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
