RAIL_TYPE,INITIATOR,TRANSACTION_CATEGORY,TRANSACTION_CD,DP_REF_NO,MERCHANT_CATEGORY,TERMINAL_ENTRY,TRANSACTION_METHOD,TRANSACTION_TYPE,TRANSACTION_DESC,TERMS_BALANCE_CD,CLASS_CD,CREATE_DT,CREATE_USER_ID,CREATE_FUNCTION_NAME,UPDATE_DT,UPDATE_USER_ID,UPDATE_FUNCTION_NAME
NA,NA,0001,0130,36,,,ONLINE_BANKING,ADJUSTMENT_DEBIT,Funds Out - P2P Transfer Out Adjustment - Debit,1001 - PR,,,,,,,
NA,NA,0019,0108,37,,,ONLINE_BANKING,INTERNAL_CREDIT,Funds In - P2P Transfer In,NA,,,,,,,
NA,NA,0019,0150,37,,,ONLINE_BANKING,ADJUSTMENT_DEBIT,Funds Out - P2P Transfer In Adjustment - Debit,NA,,,,,,,
POSP,NA,0001,3001,,,,ONLINE,PURCHASE_DEBIT,Funds Out - POS Purchase,1001 - PR,,,,,,,
POSR,NA,0001,3006,,,,ONLINE,POS_REFUND_CREDIT,Funds In - Merchant Credits,1001 - PR,,,,,,,
FEE,NA,0063,0749,,,,AUTOMATED,SERVICE_CHARGE,Funds Out - Second Replacement Card Fee (One free card per year),1003 - FE,,,,,,,
FEE,NA,0063,0752,,,,ONLINE_BANKING,ADJUSTMENT_CREDIT,Funds In - Replacement Card Fee Adjustment - Credit,1003 - FE,,,,,,,
FEE,NA,0063,0751,,,,ONLINE_BANKING,ADJUSTMENT_DEBIT,Funds Out - Replacement Card Fee Adjustment - Debit,1003 - FE,,,,,,,
FEE,NA,0016,0141,98,,,AUTOMATED,SERVICE_CHARGE,Funds Out - Processing a Mailed In Deposit Fee,1003 - FE,,,,,,,
FEE,NA,0016,0171,98,,,ONLINE_BANKING,ADJUSTMENT_CREDIT,Funds In - Mailed In Deposit Fee Adjustment - Credit,1003 - FE,,,,,,,
FEE,NA,0016,0268,98,,,ONLINE_BANKING,ADJUSTMENT_DEBIT,Funds Out - Mailed In Deposit Fee Adjustment- Debit,1003 - FE,,,,,,,
FEE,NA,0017,0262,,,,AUTOMATED,SERVICE_CHARGE,Funds Out - Trace Payment Fee,1003 - FE,,,,,,,
FEE,NA,0017,0267,,,,ONLINE_BANKING,ADJUSTMENT_CREDIT,Funds In - Trace Payment Fee Adjustment - Credit,1003 - FE,,,,,,,
FEE,NA,0017,0266,,,,ONLINE_BANKING,ADJUSTMENT_DEBIT,Funds Out - Trace Payment Fee Adjustment- Debit,1003 - FE,,,,,,,
FEE,NA,0036,0387,,,,AUTOMATED,SERVICE_CHARGE,Funds Out - Recall Payment Fee,1003 - FE,,,,,,,
FEE,NA,0036,0389,,,,ONLINE_BANKING,ADJUSTMENT_CREDIT,Funds In - Recall Payment Fee Adjustment - Credit,1003 - FE,,,,,,,
FEE,NA,0036,0388,,,,ONLINE_BANKING,ADJUSTMENT_DEBIT,Funds Out - Recall Payment Fee Adjustment - Debit,1003 - FE,,,,,,,
EDI,EXTERNAL,0019,0108,10,,,AUTOMATED,ELECTRONIC_FUNDS_CREDIT,Funds In - Payment,NA,,,,,,,
EDI,EXTERNAL,0019,0150,10,,,AUTOMATED,REVERSAL,Funds Out - Payment Reversal,NA,,,,,,,
TLPY,EXTERNAL,0019,0108,20,,,AUTOMATED,ELECTRONIC_FUNDS_CREDIT,Funds In - Telpay Payment,NA,,,,,,,
TLPY,EXTERNAL,0019,0150,20,,,AUTOMATED,REVERSAL,Funds Out - Telpay Payment Reversal,NA,,,,,,,
CCBR,PCB,0001,0480,,,,BRANCH_TELLER,UNKNOWN_WITHDRWAL,Funds Out - Credit Balance Refund PCMC,0001,,,,,,,
CCBR,PCB,0001,0160,,,,BRANCH_TELLER,REVERSAL,Funds In - CBR - Cheque Reversal,0001,,,,,,,
ECBR,PCB,0001,0160,40,,,ONLINE_BANKING,REVERSAL,Funds In - CBR - EFT - Reversal,0001,,,,,,,
BTFR,PCB,0005,0219,43,,,ONLINE_BANKING,UNKNOWN_WITHDRWAL,Funds Out - Balance Transfer Out,0002,,,,,,,
BTFR,PCB,0005,0220,43,,,ONLINE_BANKING,REVERSAL,Funds In - Balance Transfer Reversal,0002,,,,,,,
BTFR,PCB,0005,0223,43,,,ONLINE_BANKING,ADJUSTMENT_CREDIT,Funds In - Balance Credit Adjustment,0002,,,,,,,
NA,PCB,0019,0108,,,,ONLINE_BANKING,ELECTRONIC_FUNDS_CREDIT,Funds In - Pre - Authorized Payment,NA,,,,,,,
EPUL,PCB,0019,0139,46,,,ONLINE_BANKING,REVERSAL,Funds Out - Pre - Authorized Payment Reversal - With Fee,NA,,,,,,,
EPUL,PCB,0019,0150,46,,,ONLINE_BANKING,REVERSAL,Funds Out - Pre - Authorized Payment Reversal - Without Fee,NA,,,,,,,
NA,NA,0019,0108,31,,,NA,NA,Funds In - Paper Payment,NA,,,,,,,
NA,NA,0019,0139,31,,,NA,REVERSAL,Funds Out - Paper Payment Reversal - With Fee,NA,,,,,,,
NA,NA,0019,0150,31,,,NA,REVERSAL,Funds Out - Paper Payment Reversal - Without Fee,NA,,,,,,,
NA,NA,0019,0108,41,,,NA,NA,Funds In - Paper (APA) Payment,NA,,,,,,,
NA,NA,0019,0139,41,,,NA,REVERSAL,Funds Out - Paper (APA) Payment Reversal - With Fee,NA,,,,,,,
NA,NA,0019,0150,41,,,NA,REVERSAL,Funds Out - Paper (APA) Payment Reversal - Without Fee,NA,,,,,,,
NA,NA,0019,0108,51,,,NA,NA,Funds In - Paper Cash Payment,NA,,,,,,,
NA,NA,0004,0104,,,,NA,NA,Funds Out - Convenience Cheque,0002,,,,,,,
NA,NA,0004,0112,60,,,NA,REVERSAL,Funds In - Convenience Cheque Reversal,0002,,,,,,,
NA,NA,0019,0108,59,,,ONLINE_BANKING,INTERNAL_CREDIT,Funds In - PCMA to PCMC Payment,NA,,,,,,,
NA,NA,0019,0139,59,,,ONLINE_BANKING,REVERSAL,Funds Out - PCMA Payment Reversal - With Fee,NA,,,,,,,
NA,NA,0019,0150,59,,,ONLINE_BANKING,REVERSAL,Funds Out - PCMA Payment Reversal - Without Fee,NA,,,,,,,
NA,NA,0002,3002,,,,BRANCH_TELLER,CASH_WITHDRAWAL,Funds Out - Manual Cash Disbursement,1001 - PR,,,,,,,
NA,NA,0002,0161,,,,BRANCH_TELLER,CASH_WITHDRAWAL,Funds In - Manual Cash Disbursement - Credit,1001 - PR,,,,,,,
NA,NA,0002,0102,,,,BRANCH_TELLER,CASH_WITHDRAWAL,Funds Out - Manual Cash Disbursement - Debit,1001 - PR,,,,,,,
NA,NA,,,,7995,10,ONLINE,PURCHASE_DEBIT,Funds Out - Purchase - Online Gambling,1001 - PR,PR,,,,,,
NA,NA,,,,6051,10,ONLINE,PURCHASE_DEBIT,Funds Out - Purchase - Online Gambling,1001 - PR,PR,,,,,,
NA,NA,,,,7995,81,ONLINE,PURCHASE_DEBIT,Funds Out - Purchase - Online Gambling,1001 - PR,PR,,,,,,
NA,NA,,,,6051,81,ONLINE,PURCHASE_DEBIT,Funds Out - Purchase - Online Gambling,1001 - PR,PR,,,,,,
NA,NA,,,,7801,,ONLINE,PURCHASE_DEBIT,Funds Out - Purchase - Online Gambling,1001 - PR,PR,,,,,,
FEE,NA,0003,0403,,,,AUTOMATED,SERVICE_CHARGE,Funds Out - Overdraft Interest,NA,,,,,,,
PAD,EXTERNAL,0019,0440,,,,AUTOMATED,ELECTRONIC_FUNDS_DEBIT_PRE_AUTH,Funds In - PAD,NA,,,,,,,
FEE,NA,0012,0405,,,,AUTOMATED,SERVICE_CHARGE,Funds Out - PC Insiders World Elite Card - Fee,1003 - FE,,,,,,,
FEE,NA,0012,0444,,,,AUTOMATED,SERVICE_CHARGE,Funds In - PC Insiders World Elite Card Fee - Refund,1003 - FE,,,,,,,
FEE,NA,0012,0167,,,,AUTOMATED,ADJUSTMENT_CREDIT,Funds In - PC Insiders World Elite Card Fee - Adjustment,1003 - FE,,,,,,,
FEE,NA,0012,0252,,,,AUTOMATED,ADJUSTMENT_DEBIT,Funds Out - PC Insiders World Elite Card Fee Refund - Adjustment,1003 - FE,,,,,,,
